date,region,value
2024-03,대구,57675
2024-03,인천,46687
2024-03,광주,25022
2024-03,대전,21221
2024-03,울산,17746
2024-03,세종,11792
2024-03,경기,209718
2024-03,강원,18172
2024-03,충북,18196
2024-03,충남,31514
2024-03,전북,17178
2024-03,전남,9978
2024-03,경북,25736
2024-03,경남,41135
2024-03,제주,3050
2024-04,전국,756455
2024-04,서울,130877
2024-04,부산,73769
2024-04,대구,56851
2024-04,인천,46202
2024-04,광주,25212
2024-04,대전,21587
2024-04,울산,17319
2024-04,세종,11688
2024-04,경기,209318
2024-04,강원,18395
2024-04,충북,18649
2024-04,충남,30597
2024-04,전북,16818
2024-04,전남,10064
2024-04,경북,25890
2024-04,경남,40052
2024-04,제주,3167
2024-05,전국,757058
2024-05,서울,129754
2024-05,부산,74563
2024-05,대구,56341
2024-05,인천,45658
2024-05,광주,25074
2024-05,대전,22143
2024-05,울산,17188
2024-05,세종,11776
2024-05,경기,210197
2024-05,강원,18794
2024-05,충북,18986
2024-05,충남,30236
2024-05,전북,16748
2024-05,전남,10240
2024-05,경북,25583
2024-05,경남,40611
2024-05,제주,3166
2024-06,전국,740266
2024-06,서울,125781
2024-06,부산,73737
2024-06,대구,55477
2024-06,인천,44277
2024-06,광주,24551
2024-06,대전,22240
2024-06,울산,16827
2024-06,세종,11638
2024-06,경기,203408
2024-06,강원,18441
2024-06,충북,18749
2024-06,충남,30137
2024-06,전북,16427
2024-06,전남,10161
2024-06,경북,25130
2024-06,경남,40095
2024-06,제주,3190
2024-07,전국,725132
2024-07,서울,121477
2024-07,부산,73564
2024-07,대구,54676
2024-07,인천,42733
2024-07,광주,24589
2024-07,대전,22442
2024-07,울산,16249
2024-07,세종,11429
2024-07,경기,196810
2024-07,강원,18271
2024-07,충북,18510
2024-07,충남,29712
2024-07,전북,16509
2024-07,전남,10214
2024-07,경북,25125
2024-07,경남,39712
2024-07,제주,3110
2024-08,전국,720568
2024-08,서울,122383
2024-08,부산,72954
2024-08,대구,53516
2024-08,인천,42782
2024-08,광주,24447
2024-08,대전,22130
2024-08,울산,15824
2024-08,세종,11076
2024-08,경기,195143
2024-08,강원,18360
2024-08,충북,18743
2024-08,충남,29459
2024-08,전북,16666
2024-08,전남,10351
2024-08,경북,24656
2024-08,경남,39058
2024-08,제주,3020
2024-09,전국,728436
2024-09,서울,126941
2024-09,부산,72051
2024-09,대구,53126
